street,streetid
14937 57th Ave S,670
14923 280th Pl NE,671
3305 39th Ave W,672
14235 160th Ave NE,673
2000 NE 113th St,674
2033 211th Pl SE,675
14244 140th Ave SE,676
11400-11598 SE 114th Pl,677
504 Shelton Ct NE,678
26021 NE 25th St,679
1909 N 195th St,680
3755 S 168th St,681
16824 11th Pl NE,682
10872 SE 318th Pl,683
13622 NE 136th Pl,684
3047 21st Ave W,685
16 R Pl NE,686
6520-6588 8th Ave NW,687
6133 147th Pl NE,688
24217 181st Pl SE,689
10441 SE 24th Pl,690
2559 NE 98th St,691
15924 NE 53rd St,692
26054 SE 23rd Pl,693
5491 175th Pl SE,694
4620 Kennedy Ave SE,695
12901 NE 136th St,696
36023 3rd Ave S,697
7590 86th Ave SE,698
4036 S 119th St,699
808 Hoquiam Ave NE,700
1458-1462 29th Pl NE,701
4531 205th Pl NE,702
833 SW 361st St,703
24231 NE 5th Pl,704
12902 SE 158th Pl,705
12713 SE 302nd St,706
16231 NE 29th St,707
12208 20th Ave S,708
21023-21029 NE 42nd St,709
12145 SE 260th Pl,710
1001 Whitman Ct NE,711
4137 48th Ave SW,712
19415 107th Ave SE,713
1422 S 282nd Pl,714
3539 NW 67th St,715
29611 21st Ave S,716
11515 4th Ave NE,717
5212 Wallingford Ave N,718
18218 Evanston Ave N,719
14013 101st Pl NE,720
4446 S 160th St,721
4531 S Lucile St,722
5419 156th Ave NE,723
1323 145th Ave SE,724
8121 NE 147th Pl,725
17013 NE 133rd St,726
11401 SE 219th Pl,727
15839 84th Ave NE,728
3311 SE 17th St,729
4216 232nd Ave NE,730
13219 424th Ave SE,731
5038 48th Ave NE,732
1106 25th Ave E,733
2548 111th Ave SE,734
309 N 46th St,735
26118 SE 39th Ct,736
29031 40th Ave S,737
24038 SE 13th Pl,738
392 Wilderness Peak Dr NW,739
2145 N 178th St,740
11738 1st Ave NE,741
26516 235th Ave SE,742
7822 NE 14th St,743
1922 35th Ave W,744
18949 Mountain View Rd NE,745
1315 232nd Pl NE,746
35219 26th Ct S,747
17228 11th Ave NE,748
12415 NE 160th St,749
18901-18937 114th Ct SE,750
13704-13712 209th Ave NE,751
4103 SW Kenyon St,752
7558 19th Ave SW,753
1610 N 185th St,754
2609 21st Ave S,755
601 NE 76th St,756
8600-8698 30th Ave NE,757
3825 138th Ave SE,758
26635 Timberlane Dr SE,759
4020 21st Ave SW,760
10320 NE 125th Pl,761
10904 SE 1st St,762
2816 SW 110th Pl,763
12033 Dayton Ave N,764
4530 48th Ave SW,765
4527-4553 NE 201st Pl,766
12215 Dayton Ave N,767
17620 SE 121st Pl,768
2419 SW Barton St,769
170 Mt Quay Dr NW,770
4417 47th Ave S,771
19107 NE 64th Way,772
12331 A 10th Pl NE,773
19601-19853 Newport Way NW,774
9881 244th Pl NE,775
5021 Delridge Way SW,776
31215 SE 40th St,777
25707 SE 30th St,778
8024 117th Pl SE,779
13105 SE 277th Pl,780
12711 470th Ave SE,781
6849 26th Ave NE,782
6516 Denny Peak Dr SE,783
8124 24th Ave SW,784
4042 34th Ave SW,785
16703 133rd Pl SE,786
2561 NE 85th St,787
10835 41st Ave SW,788
1746 NW 60th St,789
401 SW 322nd St,790
11123 NE 141st Pl,791
44402 SE 142nd Pl,792
13012 41st Ave S,793
1501-1515 SW 327th St,794
1778 26th Ave NE,795
28507 Vashon Hwy SW,796
23013 NE 28th St,797
12054 NE 137th Ct,798
26010 141st Ave SE,799
14040 24th Ave NE,800
12652 SE 160th St,801
2610 E Montlake Pl E,802
11931 179th Pl NE,803
1617-1621 3rd Ave W,804
24246 229th Ave SE,805
4111 Woodland Park Ave N,806
27022 216th Ave SE,807
1512 NW 62nd St,808
2559 24th Ave W,809
12040 201st Pl NE,810
27200-27218 52nd Ave S,811
16221 Bagley Pl N,812
20721 9th Ave S,813
36415 12th Pl S,814
17849 149th Ave NE,815
2207 Kennewick Pl NE,816
22610 133rd Pl SE,817
5255 39th Ave NE,818
8627 9th Ave SW,819
3419 SW Morgan St,820
3200 44th Ave SW,821
6504 E Crest View Loop SE,822
1001 SW 102nd St,823
2001 S Norman St,824
22119 123rd Ave SE,825
120 Mt Si Pl NW,826
9930 NE 197th St,827
26004 18th Ave S,828
9055 Palatine Ave N,829
411 27th Ave E,830
26607 190th Ave SE,831
2504 225th Pl NE,832
24925 234th Pl SE,833
15421 SE 4th Pl,834
7752 33rd Ave NW,835
18819 71st Ave NE,836
4080 E Mercer Way,837
2012 NW Boulder Way Dr,838
35019 SE Terrace St,839
21481 SE 2nd Pl,840
6510 34th Ave SW,841
6227-6299 Whitaker Ln SE,842
373 NE Eagle Way,843
17510 12th Ave NE,844
4468 158th Ave SE,845
921-927 18th Ave,846
2204 W Emerson St,847
18303 155th Pl SE,848
419 Wetherbee Ln,849
14117 175th Ave NE,850
13440 NE 148th St,851
7426 N Fork Rd SE,852
8023 12th Ave NE,853
2049 144th Ave SE,854
2906 Kennewick Pl NE,855
800 NE 95th St,856
22020 127th Ct SE,857
7008 19th Ave NW,858
833 SW 346th St,859
4625 Somerset Dr SE,860
12611 SE 160th St,861
4800-4898 Whitman Ave N,862
27305 245th Ave SE,863
6411 22nd Ave NW,864
15511 9th Ave NE,865
5151 S Othello St,866
7353 16th Ave NW,867
8024 S 130th St,868
44633 SE 151st St,869
5612 18th Ave SW,870
7341 20th Ave NE,871
7615 SW 257th St,872
8309 36th Ave S,873
11428 SE 225th St,874
365 Crockett St,875
29701-29727 138th Ave SE,876
44250 SE Edgewick Rd,877
10635 SE 2nd St,878
30271 129th Ave SE,879
11807 NE 105th Ct,880
15024 Wallingford Ave N,881
7360 19th Ave NW,882
24023 SE 282nd St,883
11053 Greenwood Ave N,884
17822 NE 154th St,885
6211 Ravenna Ave NE,886
1714 SW 354th Pl,887
26715 Stanford Ct,888
821 Dayton Ave NE,889
2023 24th Ave S,890
6305 150th Ave NE,891
4621 193rd Pl SE,892
18581 134th Pl NE,893
10510 160th Ave NE,894
816 NW Market St,895
1820 24th Ave,896
240 S 198th St,897
18524 SE 60th St,898
14926 NE 202nd St,899
10805 177th Ct NE,900
454 A St,901
3646 Dayton Ave N,902
16215 SE 172nd Ct,903
14917-14999 27th Pl S,904
6728 40th Ave SW,905
1755 140th Ct SE,906
16336 131st Ave SE,907
901 18th Ave,908
10010 44th Ave SW,909
6729 37th Ave S,910
23911 SE 6th St,911
18200-18298 13th Ave NW,912
4751 Stephens Ave,913
17110-17116 146th Ave SE,914
23902 6th Ave S,915
2632 NW North Beach Dr,916
714 NE 10th St,917
20402 63rd Ave NE,918
13322 SE 77th Ct,919
2313 NW 65th St,920
8354 11th Ave NW,921
4 151st Pl NE,922
2009 4th Ave N,923
9445 8th Ave SW,924
12418 NE 100th St,925
12449 240th Pl NE,926
1806 11th Ave,927
29801-29829 23rd Avenue South,928
34115 SE Ash St,929
2913 278th Ave SE,930
7928 NE 182nd Pl,931
2019 24th Ave S,932
17428 7th Pl SW,933
915 6th Ave N,934
13342 30th Ave NE,935
4810 S Raymond St,936
4844 47th Ave SW,937
14223 SE 179th Pl,938
12516 Military Rd S,939
3522 SW 107th St,940
12206 SE 217th St,941
8040 S 118th St,942
7032 7th Ave NW,943
13615 179th Ave NE,944
2422 E McGraw St,945
16822 NE 87th St,946
16819 SE 171st Pl,947
4941-4949 125th Ave SE,948
9237 7th Ave NW,949
1427 NW 62nd St,950
2612 49th Ave SW,951
3429 9th Ave W,952
5028 157th Ave SE,953
801-921 Martin Luther King Jr Way S,954
6046 126th Ave NE,955
3720 S 312th Ln,956
9226 S 239th Pl,957
2019 182nd Ave NE,958
1715 46th Ave SW,959
21533 NE Woodinville Duvall Rd,960
5830 246th Pl NE,961
13424 NE 80th St,962
2525 NE 24th St,963
1505 29th Ave,964
14634 128th Ave NE,965
16864 SE 57th Pl,966
24729 SE 276th Pl,967
602 Tacoma Ave NE,968
6428 NE 184th St,969
7358 28th Ave SW,970
1106 N 80th St,971
24957 SE 279th St,972
1833 1st Ave N,973
20515 SE 333rd Pl,974
3014 NW Esplanade,975
1178 Camas Ave NE,976
556 N 167th St,977
5501 37th Ave NE,978
12840 163rd Ave SE,979
4017 36th Ave SW,980
2602 Shoreland Dr S,981
2212 N 36th St,982
2139 N 52nd St,983
10830 132nd Ave NE,984
7757 15th Ave SW,985
425 S 305th St,986
17814 SE 257th St,987
21922 34th Ave S,988
32819 17th Ave SW,989
11332 30th Ave NE,990
2625 82nd Ave NE,991
20013 15th Ave NW,992
16420 SE 39th Pl,993
7529 Lakemont Dr NE,994
701 S 52nd St,995
35131 SE Ridge St,996
18460 SE 143rd St,997
5206 13th Ave S,998
22507 SE 279th St,999
8719 228th Way NE,1000
17323 NE 24th St,1001
24911-24917 38th Ave S,1002
2825 W Elmore St,1003
11726 Phinney Ave N,1004
34403 30th Ave SW,1005
3872 50th Ave NE,1006
8442-8514 WA-900,1007
3113 E Cherry St,1008
15154 SE Newport Way,1009
2116 Sahalee Dr E,1010
8136 NE 147th Pl,1011
14556 Stone Ave N,1012
606 5th St SE,1013
6017-6199 31st Ave SW,1014
16630 SE 26th St,1015
12813 81st Ave NE,1016
22639 SE 280th Pl,1017
6048 26th Ave SW,1018
5011 SW Dawson St,1019
11207 Evanston Ave N,1020
2931 NE 5th Pl,1021
10599 Marine View Dr SW,1022
352 17th Ave,1023
7505 Ravenna Ave NE,1024
6519 Sword Fern Ave SE,1025
16103 Kelly Rd NE,1026
4355 Jill Pl S,1027
9608 Roosevelt Way NE,1028
4351 Jill Pl S,1029
13009 NE 74th St,1030
3903 Woodland Park Ave N,1031
6511 37th Ave NE,1032
5407 NE 3rd Pl,1033
122 27th Ave E,1034
38068 41st Pl S,1035
7416 Better Way Loop SE,1036
1400 10th Ave W,1037
5937 Delridge Way SW,1038
2500-2556 NW Alpine Crest Way,1039
17451 42nd Ln S,1040
11502 Corliss Ave N,1041
4136 258th Ave SE,1042
208 N 45th St,1043
12401 NE 108th Ln,1044
1215 S 211th St,1045
